"Variable","log_MSD_coef","log_MSD_SE","log_MSD_pvalue","Relative_RMSD","Relative_RMSD_LB","Relative_RMSD_UB"
"(Intercept)",2.73734414468581,0.185673788754469,1.87105202175127e-48,3.93012830268892,3.27629024474566,4.71445058946404
"sexMen",0.249890988254045,0.169447916978694,0.140329251965393,1.13308669150438,0.959720229582152,1.33777054071614
"f_ageg16-24 years",0.289081443745625,0.171125486069968,0.0912082367189047,1.15550874848598,0.977103931424558,1.36648766306876
"f_ageg35-44 years",-0.0518575676590229,0.178880971874779,0.7719015958576,0.974404480493451,0.817722586451253,1.16110782230706
"f_ageg45-54 years",0.237508344766107,0.170396023926049,0.163404682164895,1.1260930594867,0.952910845553598,1.33074944475779
"f_ageg55-64 years",0.303203898040606,0.181373689218808,0.0946273687457734,1.16369693352468,0.974194535918044,1.39006174143505
"f_ageg65-74 years",0.451240768764038,0.213229634846291,0.0343619633146242,1.25309987869105,1.01679481569527,1.54432269100606
"f_ageg75+ years",0.704909896165566,0.355360390062595,0.0473348167188278,1.42255556544937,1.00421060561603,2.01517921188412
"ethgrpWhite Other",0.136892802317999,0.143344353717026,0.339614997597537,1.07084322745689,0.930501988867849,1.23235117335482
"ethgrpMixed",-0.199095541209596,0.255763676953598,0.436339071513515,0.905246704653019,0.704549861782592,1.16311369959224
"ethgrpAsian",-0.0662644177571045,0.312912068491753,0.832295172488545,0.967410650856634,0.71192263228141,1.31458577794015
"ethgrpBlack",0.702105669611047,0.282254363799416,0.0128882316352267,1.4205623790665,1.07728453801629,1.87322606201609
"ethgrpOther",-0.0364451445986551,0.460328700136879,0.936898118348656,0.981942454844571,0.625411967471791,1.54172135292514
"religionChristian",-0.154139798560486,0.0636994343160513,0.0155548741930836,0.925825136833998,0.86979707217865,0.985462254829984
"religionMuslim",1.24803320049945,0.976311437654504,0.20118166311172,1.86640962789522,0.716936067767473,4.85885012027293
"religionAny other religion",0.106566136600085,0.185767576437663,0.566221370552621,1.05472816297499,0.879176894297987,1.26533295516243
"highqualNVQ <= 3",-0.501463739162154,0.121675183825995,3.81116017541136e-05,0.778231010993414,0.690752600988143,0.87678787688304
"highqualNVQ4+ (degree)",-0.665933712667895,0.125892291126758,1.26291457425326e-07,0.716793950941342,0.633597552308928,0.810914698508154
"highqualOther",-0.19851121906521,0.161796055152624,0.219893738211028,0.905511221139678,0.772737600852599,1.06109832199854
"smokstatStopped>1y ago",0.0483371890871981,0.0776371505054357,0.53356552771587,1.02446302220737,0.949408791402288,1.10545056394528
"smokstatStopped in past year",0.303074310735391,0.219387606624062,0.167183711242315,1.1636215357925,0.938509125860409,1.44272979478891
"smokstatSmoker",0.451449913476029,0.0771966717966874,5.20183431347351e-09,1.25323092514946,1.16191815154178,1.35171978307329
"favdrinkCider",0.0223244240202322,0.143637901416726,0.876493565843104,1.01122474193946,0.878444164294017,1.16407566954736
"favdrinkMixed spirits",-0.395625338410117,0.135653392033594,0.00355192852974806,0.820523548070013,0.718382592370393,0.937187092348523
"favdrinkOther",0.0769050955898766,0.368016733826889,0.834476494313525,1.03920141478934,0.724550474678069,1.49049599474764
"favdrinkSpirits alone",0.178026136386017,0.119893741838688,0.137625181442126,1.09309494100866,0.971919012167008,1.22937871890647
"favdrinkWine",-0.111620979976024,0.0790091832225896,0.157771695902108,0.945718342003514,0.875255452475444,1.0218538826263
"tryalclyc2Attempt to cut down in last 12 months",0.407049855200836,0.0702076329136503,7.01680493505299e-09,1.22571571141187,1.14421801499042,1.31301813598389
"sexMen:f_ageg16-24 years",0.0399027692831,0.218588732374049,0.855158669148715,1.0201517437785,0.82343919194128,1.26385723502037
"sexMen:f_ageg35-44 years",0.228466297141553,0.231384466547705,0.323487103689382,1.1210134571037,0.893576232862609,1.40633907303217
"sexMen:f_ageg45-54 years",0.125165977236884,0.21819960358803,0.56623654000292,1.06458280350809,0.859630508876591,1.31839963079748
"sexMen:f_ageg55-64 years",0.133750965107636,0.224773563913013,0.551831251521346,1.0691623405216,0.857784299674526,1.33262885648916
"sexMen:f_ageg65-74 years",-0.105667294882957,0.251301409010487,0.674147750781631,0.948537791046896,0.741478562901555,1.21341868269707
"sexMen:f_ageg75+ years",-0.503029194264112,0.401458730636055,0.210247047397547,0.777622106474343,0.524691843672247,1.15247863630852
