"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"F2",0.352422839976948,0.00283812004228941,0.0545530694484604,0.242229553955812,0.317076027431055,0.352513437429799,0.389718208554787,0.456860103998394,369.468027064578,1.02414483941041
"F3",0.848432182443667,0.0456283650399078,0.0714653400143815,0.728115084501574,0.794267919652212,0.83927882894643,0.899642572929009,0.996176297626791,2.45313310831779,1.5868446022859
"F4",2.17876724216151,0.0952966536796575,0.125503505125437,1.99521883634347,2.08166381508621,2.13683543182213,2.31604577806619,2.39707704484543,1.73442853053438,2.63241768058722
"F5",4.06474676226114,0.0889661655599289,0.141272118132119,3.80361072207329,3.95683328185275,4.06288571440364,4.1726793147745,4.31744332970671,2.52152435701252,1.53946131951124
"F6",6.55322256548574,0.205795314172056,0.278044166787632,6.10206653608016,6.33121563299525,6.48527633909734,6.87497403003543,6.96522291925121,1.82539397458586,2.34690835458542
"Q1",2.08472663139322,0.0543351871363468,0.0983275811834962,1.90640076921063,2.01200208553097,2.08202713346659,2.15384242333482,2.28128021136673,3.27482711304041,1.37326543386267
"Q2",3.59952947438929,0.101831897269549,0.159738722260758,3.32304116220859,3.46953463300578,3.60709204448698,3.71938548111893,3.90307233380723,2.4606664150597,1.59220254629985
"Q3",5.1742745451379,0.177934057389273,0.245541029401706,4.75604870962764,4.970812385138,5.1336200509747,5.46367731344929,5.49394240919733,1.9042763796043,2.12605151148732
"Q4",7.92325803976773,0.283026728256585,0.389593526959192,7.26076423070181,7.53075398849967,8.00195877279983,8.22868347476166,8.55990967378074,1.89482263047306,2.13808181206483
"Q5",10.1736106789891,0.299037456970504,0.426720249309582,9.54726731106151,9.73416173384305,10.2278279152047,10.5121584114004,10.937618223973,2.03626981085161,1.93062891852636
"Q6",9.80735023069414,0.0877999941852943,0.222209928214471,9.53466715966381,9.63814113527993,9.75590118060324,9.92606426430584,10.3796157705664,6.4052774136274,1.16532379308125
"Q7",16.7491713651444,0.505134040404344,0.71150802578254,15.6647188986493,16.0065965717171,16.8574222642786,17.3071206599112,18.0163151931684,1.98402131828827,2.013811108633
"V1",0.0638446011961293,0.00141328014596382,0.0193143684665888,0.0222779123971627,0.0504146716119643,0.065858969173573,0.0791600316098098,0.0938738195973147,186.768877552834,1.02907794759849
"V2",0.314560573430343,0.00269226077846234,0.0500542069215258,0.215561067186152,0.279336629746117,0.315552490547981,0.350256097644954,0.408992847887324,345.658245009361,1.01205438801796
"V3",0.766106922910349,0.00468174935125642,0.0751905741878641,0.62343708926396,0.708474696356664,0.770858709294175,0.823056419900927,0.89992647616067,257.935123378395,1.02580828518591
"V4",1.35340829476522,0.021248956492266,0.0628889315996092,1.23660356536531,1.30893408875714,1.35103870645833,1.39465847931581,1.48180735355599,8.75937700429565,1.11744748616133
"binge",5.60800677989619,0.140013039908209,0.272692972775269,5.22451436889333,5.40731859374876,5.53334162983728,5.78592024294058,6.24952566128433,3.79324525287947,1.29330287984349
"sigma",12.1820016776027,0.00527235276268787,0.0802515065031218,12.0252045854497,12.1283878647268,12.1823375614277,12.2366643662205,12.3358264894581,231.684759868369,1.03167932847004
