"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"F2",0.210843641931645,0.000832472651655135,0.0560910528392178,0.120935683887195,0.168075171504583,0.2052476724129,0.247963690147378,0.33126369777078,4539.90989906995,1.00022008326057
"F3",0.578641883684567,0.000612321691599737,0.0396789641859933,0.515104673215721,0.549158960721994,0.574547894957746,0.603874577121666,0.665788834345341,4199.14975791796,1.00013351803402
"F4",1.64491280957966,0.000896259238943645,0.0558712673120201,1.54400323993949,1.60485008003426,1.64304011226858,1.68212693111848,1.76119513333582,3886.06225539252,0.999890534965365
"F5",3.31438169704332,0.00165198462278755,0.0991378592995075,3.1222326758193,3.24661263039173,3.31336784285406,3.38077943751167,3.51140740279477,3601.36444696709,1.00020588472697
"F6",5.47533985499289,0.00236089557558026,0.123483936253584,5.23515351300971,5.39376640543099,5.47317062143293,5.5571444695426,5.71732631901836,2735.69308827481,1.00066739040845
"Q1",2.13198919343001,0.00162045658495353,0.102246362695185,1.93120744034111,2.06265624406049,2.1330862768849,2.20095723233114,2.33129471153955,3981.26361485258,1.00026639883263
"Q2",4.35355781772837,0.00158652536646601,0.0831510208709808,4.1611453343998,4.30279274371887,4.36570099855099,4.41662857564915,4.47803340649397,2746.88912846533,1.00042818262711
"Q3",5.60338071731844,0.00316477595397703,0.195333547736844,5.21525923044398,5.47115419692054,5.60045658246233,5.73547198883121,5.98632997916446,3809.4978752368,1.00094502914244
"Q4",6.95035176773951,0.00311848029759932,0.209460810758074,6.59599252333546,6.79847460198728,6.93030927920515,7.08519447162046,7.40502514815704,4511.48534912241,1.0014413349363
"Q5",10.183886429546,0.00444288063076461,0.293586434401521,9.66501654547189,9.96738486175258,10.1694349111448,10.3789015913419,10.793984654385,4366.5926459595,1.00039702958006
"Q6",10.8590877342513,0.00715206375833197,0.50438603616026,9.93277475119315,10.5047361559965,10.8413255201144,11.1965519621356,11.8840160498618,4973.51411247051,1.00008908759576
"Q7",15.9718983118428,0.0057670071180468,0.288378291799639,15.5665699025248,15.7525192977751,15.9280551172503,16.1388499339828,16.6711372859155,2500.48443239218,1.00022881148648
"V1",0.129085737967049,0.000497829124882487,0.0320248194366178,0.0613433794594029,0.108332883051143,0.131485883281723,0.15250645321141,0.184763959911476,4138.21240052294,1.0006487597201
"V2",0.342953428516361,0.000689308232560032,0.0479104804963919,0.250402738167635,0.30964986818383,0.342851032488003,0.37585524879926,0.436303202358267,4830.96756972813,1.00006698423066
"V3",0.644808440803427,0.000990150252539313,0.0649260148906956,0.535428104617219,0.596493772306095,0.638900612154687,0.687010481469156,0.783968374479119,4299.67162543609,1.0002043747139
"V4",1.40232042209721,0.00163655762085793,0.099451350183947,1.21436423086032,1.33444271688496,1.40041609278461,1.4685695319171,1.60332738533161,3692.82532626662,1.00063588530447
"binge",5.70344527857811,0.00487156497460993,0.288923693765833,5.22719083905552,5.49643570429282,5.67046913708765,5.88309030930302,6.34626045606692,3517.46122221824,0.999971357584613
"sigma",11.3513616511228,0.00123871765406087,0.100197624397474,11.1542100442772,11.2836940939371,11.3516436171622,11.4188444908869,11.5463045168359,6542.898685868,1.00013689694911
