"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"F2",0.1809639918139,0.000642637286502253,0.0402278023017572,0.115505531245176,0.151105557843981,0.177030611720452,0.206485378835132,0.268235449554747,3918.50832625857,1.00112513675229
"F3",0.571182165119372,0.000612630089610654,0.0332522332674407,0.515718474349028,0.546284476954401,0.567842326346997,0.592589072751342,0.644164673081697,2946.08307947392,1.00118119229128
"F4",1.58918396537119,0.00080397017086639,0.0396524200678683,1.52074609108708,1.56066760351123,1.58647256098588,1.61450352546402,1.6734375642901,2432.53739438821,1.00120458052572
"F5",3.26506328971921,0.00136247503069409,0.073364567773313,3.12958171250129,3.21538105310504,3.26236708072468,3.31192790674068,3.4172806331212,2899.44999122574,1.00201427948583
"F6",5.19324835106302,0.00158836232318334,0.0782515754922087,5.05639357173845,5.13639252934066,5.18785671733827,5.24349959812114,5.35952839157425,2427.09640442554,1.00221553583045
"Q1",2.40437525568095,0.000884652869410142,0.0513589738787654,2.29114578765816,2.37189698614359,2.41109119438961,2.44344978687665,2.48364307307879,3370.44229021099,1.00066806823551
"Q2",4.3664057201351,0.00115822587616346,0.0689234373458772,4.21357955643797,4.32227875864424,4.37302016903561,4.41845431250932,4.47645575238444,3541.17451559325,1.00111847708577
"Q3",5.97369837719043,0.0021419768747087,0.134249746513169,5.71129447173874,5.88176905784008,5.97476629823093,6.06685774295937,6.23360289562311,3928.23438787534,1.00124099858026
"Q4",6.88656064442359,0.00250062474646228,0.159764985843298,6.60021246145276,6.77121202588663,6.88064071678437,6.99043108395264,7.21627488074439,4081.93571740848,1.0021881637409
"Q5",9.7544992477971,0.00268910833360613,0.146294788537084,9.54214145723994,9.64348658766161,9.73262083751668,9.84169442310439,10.0929042002705,2959.65516711334,1.0013471316308
"Q6",9.70147619599637,0.00267475810191824,0.130916408771923,9.5271240337015,9.60364551918538,9.67526528983215,9.77039667693084,10.0273562556764,2395.62669329265,1.00026868333897
"Q7",17.9895929191653,0.00689542592772085,0.366129775556524,17.2696380538447,17.745147276144,17.9891934058061,18.2365872515502,18.7084015598609,2819.34292550347,1.00186478962703
"V1",0.157099968142493,0.000387993991627771,0.0221197546226053,0.109251561126163,0.142941584096059,0.159459343709901,0.174037944079202,0.191993199965929,3250.20391720999,1.00055884328379
"V2",0.395451795200669,0.000699605666823141,0.038529085062179,0.319365815685083,0.368744457636872,0.396202247032199,0.422499135333228,0.468468512236258,3032.98843929859,0.999842936535283
"V3",0.696272774482283,0.00114424229534403,0.0599253231029962,0.58408519601323,0.654188231741443,0.694636098739817,0.735976934137714,0.817453460579856,2742.74085067039,0.999906459397975
"V4",1.38341274316398,0.00199206835357826,0.0926963545580958,1.21513895053517,1.31713998998535,1.37993012470038,1.44560848780529,1.57064971210244,2165.29382691624,1.00013549657643
"binge",6.05882494527061,0.00842098226850269,0.372478579252706,5.3816046866949,5.78797433898754,6.04597169206418,6.31253281870995,6.8151276531942,1956.48759411485,1.00095601005516
"sigma",11.9814481998236,0.000971257511709053,0.0770682434198884,11.8305199299063,11.929064780635,11.9805277675405,12.0335583066269,12.1320306449701,6296.25254693852,1.00010422638851
