"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"F2",0.166282509934204,0.000450784656490796,0.0309224508787185,0.114636452912398,0.143972979715488,0.163995895423956,0.185778012903177,0.232863277347384,4705.54104307151,0.999930655919818
"F3",0.548959062843329,0.000404389523955007,0.0242937277334486,0.509614313799856,0.530766021499739,0.546555837845596,0.564214671954682,0.602683084840914,3609.01367141587,1.00035333430252
"F4",1.58989843729066,0.000658307398093127,0.0336580424494452,1.52810119721891,1.56616981753066,1.5884877619616,1.61227154892654,1.66032117386204,2614.08819674943,1.00159588238321
"F5",3.29366929211161,0.00113467775739026,0.0598159614391044,3.1807214187299,3.25230255296494,3.29211779640534,3.3327582497509,3.41665795021988,2779.00348897619,1.0026382215143
"F6",5.15484768535671,0.0014232281097578,0.0662369405235264,5.03987086773461,5.10652520549465,5.15054803516635,5.19788501660099,5.29624313055167,2165.96534086429,1.0037471592268
"Q1",2.39903918044879,0.000789965702451052,0.0473889207951907,2.29731847515419,2.36802440514956,2.40291618016338,2.43435287786768,2.47736765888781,3598.62973898976,1.00249790920561
"Q2",4.34295598358448,0.0012914730885557,0.0660278620268871,4.20471357949835,4.30001840182371,4.34766459038297,4.3906762853556,4.45750915937922,2613.86858076483,1.00191441678261
"Q3",5.9467041124063,0.0022146805294631,0.113044740865484,5.72591245916805,5.87049311106747,5.94624095554509,6.02348290345859,6.16547756657306,2605.42484509198,1.00258700036389
"Q4",6.96785764104653,0.00236854191075209,0.146166695806479,6.68761982998697,6.86527179773328,6.96643052546962,7.06777947853818,7.25941317739243,3808.33120577784,1.0017595537765
"Q5",9.71478899148789,0.00232277282164155,0.123865140617737,9.53446240102012,9.62024086841403,9.69537747829445,9.79097009079906,9.99563008545813,2843.70622361126,1.00122266803949
"Q6",9.74339325062254,0.00284511166017829,0.151537689855645,9.53145195277008,9.62826511990537,9.7160382469663,9.83295318443847,10.1035401631084,2836.89128742593,1.00155655028463
"Q7",18.0061457478617,0.00624813918223121,0.326381999761479,17.3659353123618,17.7818295732666,18.0071452873486,18.2315519635943,18.6372366262833,2728.66994659622,1.00307514441808
"V1",0.134409860588451,0.000358177996826799,0.0215081217208957,0.0907943921047302,0.120365513955977,0.13506502861341,0.149358401687442,0.175463439999981,3605.84591663384,1.00009464715642
"V2",0.338024251538206,0.00060683145325408,0.0325771397273966,0.275584875877409,0.316200819954074,0.337105535121423,0.359568143776971,0.403734369669485,2881.97185439073,1.0002280475728
"V3",0.632510895811888,0.000929788277828917,0.0471031209789734,0.546691088983824,0.598495217625002,0.631179621948369,0.664130232272617,0.72738123115592,2566.44070248022,0.999915885819681
"V4",1.36057396595037,0.00175265339316785,0.0790954102781235,1.2093445239539,1.30611283614046,1.35914507321406,1.41416692400034,1.52000938447179,2036.62227901808,0.999942757080025
"binge",5.75873070503708,0.00663625148840272,0.301657336671576,5.2412511353881,5.53457814652778,5.7373830183936,5.96115317941778,6.38424238401745,2066.24641557994,0.999835405687117
"sigma",10.8114331186174,0.000632171718659174,0.0505929755704613,10.7111944350874,10.777815627428,10.8114570443324,10.8458319405718,10.9111753325008,6404.87000255383,1.00007205976628
