"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"F2",0.301662107813395,0.00442467862664489,0.0271737979605396,0.249932414329197,0.289989761450291,0.295381765305677,0.310482966148585,0.369082600662061,37.7170067190182,1.10298146736264
"F3",0.676568946356966,0.0271251510477873,0.0363752131649357,0.633390727117483,0.646729534743307,0.66628627611507,0.698852787463954,0.767530988052266,1.79831912738611,1.60598579967705
"F4",1.83879416992595,0.0677036955618059,0.0704426374421777,1.76165474488246,1.77287979587588,1.81339160957376,1.90287454340801,1.95324442669945,1.0825462651357,3.57980048935154
"F5",3.53412983842374,0.116998445459722,0.122844073280133,3.38613423595285,3.42434094915456,3.46050280909632,3.64549712052543,3.75540941036856,1.10242292040511,3.14378754587962
"F6",5.52022979480986,0.248709659014952,0.253082497132838,5.2027879221381,5.27717365086656,5.47856443043896,5.77067266453549,5.87239572693295,1.03547333042141,5.8807222715937
"Q1",2.36944493551144,0.0990100448516035,0.105159456888215,2.16878146962875,2.28015012958496,2.40125495340617,2.46628239192491,2.49661670279816,1.12807546696982,2.93244574709022
"Q2",4.21563908494175,0.209814149133802,0.214744191173433,3.91290816719393,4.00469312581089,4.25779732455725,4.43101373430528,4.48953589193696,1.04754648928164,4.96761471169671
"Q3",5.6806883633865,0.213560113802608,0.220341056244897,5.33538813268479,5.47323372430916,5.79161243190886,5.88927073503763,5.96986770933071,1.06451201276733,3.83382750981737
"Q4",9.15852408702766,0.300521141341468,0.320597062081341,8.49096989621512,8.89577680200041,9.30982231229563,9.45550513761065,9.4960662509388,1.13807010998203,3.28983852672314
"Q5",11.6168979981342,0.355082605166457,0.372773767838746,11.0219950226368,11.2488102993282,11.831211294329,11.9680769776161,11.9979614018338,1.1021276337884,3.10736180668485
"Q6",12.5534472355422,0.431604407435235,0.472222005433283,12.0039008253585,12.0407443592113,12.7148082741376,12.9603776103079,13.2254497599605,1.19707317970219,2.90003037502384
"Q7",19.7016379381426,1.08817907722215,1.1037327077143,18.0852021893738,18.6143310731911,20.0486597520427,20.8014825869332,20.8839480456381,1.02879082476593,6.10984891919864
"V1",0.058603626591114,0.00353372048561155,0.0137799601474332,0.0356064797373672,0.0515597757927663,0.054891543598216,0.0617254850890362,0.0943062930130699,15.2065794287584,1.1334626222498
"V2",0.232835374193249,0.0130802467008808,0.0280540422968268,0.193598376931944,0.213022188882547,0.228168361715205,0.245678340014686,0.295354089232031,4.60001263591637,1.27160655515357
"V3",0.579609932697506,0.0312976415915027,0.0426140711489498,0.513140000588288,0.551056314589107,0.563619748998583,0.605805272587991,0.682216258321545,1.85388515801426,1.51528174582873
"V4",1.16495598948757,0.04245418923312,0.0457882203362726,1.11055212231634,1.12482586208712,1.13564883410417,1.20534335269256,1.24951794059182,1.16323222588293,2.59130282113683
"sigma",10.9867418531776,0.0382348487068012,0.0521974924314466,10.871582946914,10.9479311943559,11.002142764628,11.025121704889,11.0577067180973,1.86371940834438,1.5916861401616
