"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"F2",0.182369184414605,0.000583804614463,0.0332941433190153,0.12195869472439,0.158286096040726,0.180923549288408,0.204259610483742,0.251758793620745,3252.37521325722,0.99984473810531
"F3",0.561758892012286,0.000503354254444518,0.0254273632517064,0.516311148651031,0.543334913185555,0.560448166928621,0.578712169693559,0.61499285888898,2551.85014527334,1.00206305255713
"F4",1.6126572662187,0.000765078857127693,0.0332061439669816,1.55114516398182,1.58980092936372,1.61152777428026,1.63465865193072,1.67945281739839,1883.75532097061,0.999954781219341
"F5",3.32254637553395,0.00132295586815842,0.0582244560306348,3.21061147385015,3.28328527577383,3.32106944490874,3.36182049775932,3.44075180675156,1936.95782928946,1.00061978077692
"F6",5.17565876826471,0.00163180274514702,0.0633935748382316,5.0595952885808,5.13164726272103,5.17222158983559,5.21782407652784,5.30641811638942,1509.22908776888,1.00204273672056
"Q1",2.42224777288308,0.000827314101852651,0.0398462199007675,2.33490902109788,2.39620093024498,2.42694172323432,2.45206840211071,2.48544874260035,2319.70842914834,1.00253661254184
"Q2",4.34206185276709,0.00146545313589764,0.0641191251302514,4.21100177716573,4.29800442610988,4.34493835653418,4.38913566181192,4.4571421489262,1914.39392244493,1.00071272653112
"Q3",5.84215546446096,0.00163211772226875,0.0775228879598794,5.67060906765961,5.79191382037965,5.85090553355184,5.9004770148101,5.96800687012835,2256.09262099091,1.00220432013604
"Q4",6.8907633362603,0.00259043788641735,0.134918149401219,6.6460788002237,6.79320719887094,6.88846298390681,6.98098765841622,7.16643382926617,2712.65388650755,0.999872503644664
"Q5",9.6702740841809,0.00257460895897806,0.103058582644048,9.52398978467253,9.59211285019905,9.65157977936976,9.73194031473681,9.91269117003467,1602.30717857589,1.00278394648476
"Q6",9.72540409364414,0.00390475879805465,0.143790479115295,9.53159001498415,9.61430688259227,9.69787138693166,9.80535901242912,10.0788979438398,1356.03792978237,1.005808840734
"Q7",17.8320321346818,0.00674312590456352,0.307874085201786,17.2349276361884,17.6216287400143,17.8271854898207,18.0381229733661,18.4505629480496,2084.60479035047,1.00124493408706
"V1",0.0840514372623278,0.000225586327427947,0.00972994465885021,0.0610556511542993,0.0785479996948773,0.0856820277010107,0.0915215022298429,0.0977986874470931,1860.3522865303,0.999977455699907
"V2",0.290616941370101,0.000601572089581448,0.0273829347876891,0.237185713671888,0.272161284115317,0.290616825549207,0.308404309917602,0.344885627996639,2071.97555375868,1.0008341052968
"V3",0.566554146017767,0.000620253581367566,0.0300985014473082,0.514638903598924,0.544589483300814,0.564063306293578,0.586043270974722,0.630953626812816,2354.78459254954,1.0008521835028
"V4",1.20938907975316,0.00105139828281474,0.0469102741067292,1.11681051146194,1.17757474195548,1.20927997609924,1.24090390435129,1.30307157757786,1990.67982266814,1.0002485617432
"binge",6.44777775894945,0.00421479156300924,0.174288452777009,6.15045466565123,6.31937898199386,6.43385852642372,6.56391290972927,6.81112056197638,1709.95635269576,1.00195571867793
"sigma",10.8128562678641,0.000786467325392137,0.0508447790948549,10.71259697907,10.7792464343634,10.8125202593478,10.8458130831844,10.9145939466715,4179.56767211326,0.999834593247298
