"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"F2",0.284700459103698,0.0086431140675315,0.0284578501669238,0.211346234202091,0.268140049340338,0.290856304402193,0.302196945245862,0.336884218966623,10.8408587936127,1.19903416030411
"F3",0.630573914440908,0.0103734645917211,0.0244254787079409,0.594971609218215,0.611294260648044,0.626636923550397,0.647193873099663,0.68545885242094,5.54419517312821,1.30968441153361
"F4",1.81916716947413,0.00534801885984847,0.0256514700255417,1.76835702570323,1.80149316675259,1.8177682778817,1.83835333850391,1.86739744490093,23.005869759622,1.11895065370183
"F5",3.51384521608733,0.00114217256608299,0.0131555666018522,3.50030700592799,3.50429793024617,3.51035242831918,3.51939717841968,3.54758429719459,132.664787589526,1.02439059860799
"F6",5.53533002293964,0.0312315259359557,0.0403706499902298,5.50044530492865,5.50507448666862,5.51509216471693,5.55780240914145,5.64046060412701,1.67087928941075,1.54265596860103
"Q1",2.24688578312696,0.02922821689467,0.0791420094563692,2.0753861807115,2.19913453386168,2.26341593127079,2.30490238393552,2.36112378292636,7.33178132079625,1.490331948189
"Q2",3.81787387658672,0.116295642349816,0.139589568020091,3.65664101612965,3.69188890735433,3.7503029560567,3.96304452820748,4.07561346502873,1.44071820139471,2.75780016987375
"Q3",5.43257799288131,0.157272703337715,0.17688116075882,5.05905230789125,5.28744560243658,5.57219233583092,5.58473702428047,5.59129315807585,1.26490076550506,2.70734514411618
"Q4",8.80099267990371,0.453791236977329,0.458834302406445,8.3137072893629,8.34268464272144,8.66452606423947,9.25422311605912,9.43225891696607,1.02234987047983,6.37057147426417
"Q5",11.4752131445147,0.0970474239603086,0.143447145795981,11.3459257426086,11.3775735231135,11.3941440551848,11.5799660824784,11.7991492119117,2.1848206855653,1.49742459015318
"Q6",13.1741479805595,1.07039335395131,1.07609646438591,12.0037479597101,12.0591374246781,13.8150432881187,14.240348335543,14.2656018315137,1.01068449023018,8.95934254697424
"Q7",20.3124783132588,0.637294384945132,0.645977812269601,19.3627075977667,19.7487625510035,20.4185819684205,20.9476093288912,20.9666651314016,1.02743656735221,9.24605457305164
"V1",0.0861640349003676,0.00441750890040535,0.00945986403449199,0.0665348947877859,0.0802372597929802,0.0853855032580373,0.0952446547466567,0.0993946411486519,4.5857980191385,1.51170048314972
"V2",0.314556564556778,0.0413369987950454,0.0480802576543114,0.226381618224721,0.276811170857603,0.320821592056249,0.352032894606435,0.385156607963015,1.35286882206275,2.43831728924589
"V3",0.672796930457427,0.0151269084389176,0.0304506807569251,0.570459606207685,0.662857494685191,0.684974169586031,0.689541088968588,0.708961601171597,4.05222597438923,1.28412395565939
"V4",1.15476550043933,0.0308683044621355,0.0437592252282309,1.06776548008536,1.12325295649715,1.16052511043722,1.18868326530581,1.2279164104454,2.00961885971922,1.40637229158271
