"threshold","specificity","sensitivity"
-Inf,0,1
1.41996,0.120353692484035,0.998578333807222
1.7861505,0.14769936138857,0.998578333807222
1.9440175,0.152038644178811,0.998578333807222
2.086126,0.269281152775504,0.997156667614444
2.304059,0.270263631897822,0.997156667614444
2.640402,0.282790240707385,0.996588001137333
2.879667,0.299246766006222,0.995735001421666
3.0114365,0.299410512526609,0.995735001421666
3.1644595,0.309808416571148,0.995166334944555
3.223605,0.333879155067955,0.994029001990333
3.339616,0.379482560995579,0.991470002843332
3.7012015,0.386605534632389,0.991470002843332
4.0423885,0.392909775667267,0.990617003127666
4.11662,0.397085311937121,0.99033266988911
4.185557,0.398804650401179,0.990048336650554
4.2451025,0.506304241034878,0.978390673869775
4.3622365,0.507041100376617,0.97810634063122
4.537112,0.548960209595546,0.974694341768553
4.678433,0.550925167840183,0.974410008529997
4.8102025,0.552317013263468,0.974410008529997
4.8867655,0.55567381693139,0.974410008529997
5.028874,0.559521860160472,0.97355700881433
5.1725755,0.564270509251678,0.973272675575775
5.2632435,0.58236449975438,0.969576343474552
5.394745,0.585311937121336,0.969576343474552
5.645264,0.619780579662682,0.964742678419107
5.8984715,0.62149991812674,0.964174011941996
5.9749315,0.621827411167513,0.964174011941996
6.08979,0.626576060258719,0.962752345749218
6.415812,0.634927132798428,0.960762013079329
6.7773975,0.635254625839201,0.960762013079329
6.97281,0.647453741607991,0.959056013647995
7.0357875,0.647453741607991,0.95877168040944
7.117051,0.649254953332242,0.957918680693773
7.44403,0.659816603897167,0.952232015922661
7.75181,0.670378254462093,0.948535683821439
7.8269,0.703209431799574,0.928916690361103
7.875341,0.70640248894711,0.928348023883992
8.0707535,0.751514655313575,0.912141029286324
8.344474,0.75216964139512,0.911572362809212
8.679879,0.7524152611757,0.911288029570657
8.9679385,0.752579007696086,0.911288029570657
9.070018,0.764778123464876,0.899630366789878
9.148149,0.807024725724578,0.875746374751208
9.2039365,0.807106598984772,0.875746374751208
9.346045,0.807597838545931,0.875462041512653
9.5185135,0.807679711806124,0.875177708274097
9.7637965,0.812837727198297,0.873471708842764
9.959209,0.819633207794334,0.864657378447541
9.9746355,0.821598166038972,0.863804378731874
10.0639525,0.821761912559358,0.863804378731874
10.2156425,0.822007532339938,0.863520045493318
10.4017135,0.822089405600131,0.863520045493318
10.6302275,0.82258064516129,0.863235712254763
10.792324,0.826838054691338,0.855274381575206
11.0069145,0.849025708203701,0.828262723912425
11.1884905,0.858686752906501,0.806653397782201
11.22183,0.859014245947274,0.805800398066534
11.3027205,0.862207303094809,0.805231731589423
11.434222,0.862452922875389,0.805231731589423
11.761201,0.863926641558867,0.802672732442423
12.0940465,0.87113148845587,0.7989764003412
12.288412,0.872277714098575,0.795848734717088
12.6518785,0.900933355166203,0.741541086152971
12.9107965,0.911003766169969,0.717088427637191
13.157551,0.913787457016538,0.712823429058857
13.508854,0.915670542000983,0.707705430764856
13.7604855,0.922629769117406,0.692920102359966
14.0875545,0.927787784509579,0.686664771111743
14.6720105,0.928442770591125,0.683252772249076
15.0861195,0.929998362534796,0.679272106909298
15.1345605,0.933437039462911,0.67074210975263
15.1613895,0.940150646798755,0.652544782485073
15.257989,0.946291141313247,0.630366789877737
15.86821,0.948256099557884,0.622974125675291
16.798913,0.953086621909284,0.592834802388399
17.2279675,0.961683314229573,0.557577480807506
17.3658805,0.962420173571312,0.545635484788172
17.797979,0.962665793351891,0.545066818311061
18.3531665,0.96594072375962,0.520329826556724
18.6537755,0.96594072375962,0.519761160079613
19.006419,0.966841329621746,0.51805516064828
19.3661925,0.967250695922712,0.513790162069946
19.548331,0.974701162600295,0.453227182257606
19.743745,0.975847388243,0.443559852146716
20.1251495,0.976011134763386,0.44327551890816
20.477793,0.977730473227444,0.439010520329827
21.0329805,0.978631079089569,0.430196189934603
21.8941335,0.978794825609956,0.429058856980381
22.3357695,0.979777304732274,0.419675860108047
23.0963745,0.982397249058457,0.393232868922377
24.170912,0.982560995578844,0.392948535683821
24.6610615,0.98526281316522,0.359965880011373
24.8683575,0.988292123792369,0.315609894796702
25.391354,0.988373997052563,0.314472561842479
25.82647,0.99009333551662,0.281489906170031
26.2113045,0.990502701817586,0.272391242536252
26.6373415,0.991239561159325,0.243957918680694
26.860181,0.991403307679712,0.243104918965027
27.263106,0.991567054200098,0.243104918965027
27.873327,0.992549533322417,0.217230594256469
28.5974605,0.99263140658261,0.217230594256469
29.4586135,0.992713279842803,0.217230594256469
30.4901405,0.993368265924349,0.216377594540802
31.220009,0.994023252005895,0.201307932897356
31.622934,0.994432618306861,0.195336934887688
31.927948,0.995660717209759,0.156667614444129
32.327347,0.995660717209759,0.156383281205573
33.45105,0.995988210250532,0.14756895081035
34.312203,0.996725069592271,0.133636622121126
34.4201615,0.996970689372851,0.127096957634347
35.0329555,0.997134435893237,0.127096957634347
35.6431765,0.997216309153431,0.126812624395792
36.71892,0.997216309153431,0.126528291157236
38.201983,0.997298182413624,0.12567529144157
38.729484,0.997871295234976,0.107762297412568
39.226049,0.997871295234976,0.106624964458345
39.8064555,0.998035041755363,0.10634063121979
39.9775645,0.998035041755363,0.1043502985499
40.0975395,0.998116915015556,0.104065965311345
40.9586925,0.998280661535942,0.102928632357123
41.7375335,0.998362534796136,0.102359965880011
42.344769,0.998444408056329,0.0975263008245664
43.463244,0.998444408056329,0.0972419675860108
44.625006,0.998526281316522,0.0935456354847882
45.657268,0.998526281316522,0.0924083025305658
46.2124555,0.998771901097102,0.0852999715666761
46.7306985,0.998853774357295,0.0852999715666761
