"threshold","specificity","sensitivity"
-Inf,0,1
1.5,0.0969959946595461,1
2.5,0.219292389853138,0.997286295793758
3.5,0.373564753004005,0.989145183175034
4.5,0.544192256341789,0.968792401628223
5.5,0.658010680907877,0.934871099050203
6.5,0.743257676902537,0.905020352781547
7.5,0.804606141522029,0.833107191316147
8.5,0.861148197596796,0.773405698778833
9.5,0.901535380507343,0.700135685210312
10.5,0.933311081441923,0.602442333785617
11.5,0.953671562082777,0.49932157394844
12.5,0.965554072096128,0.400271370420624
13.5,0.974966622162884,0.337856173677069
14.5,0.981775700934579,0.278154681139756
15.5,0.98671562082777,0.215739484396201
16.5,0.990320427236315,0.169606512890095
17.5,0.99305740987984,0.138398914518318
18.5,0.994592790387183,0.122116689280868
19.5,0.996328437917223,0.105834464043419
20.5,0.997463284379172,0.0854816824966079
21.5,0.99826435246996,0.0800542740841248
22.5,0.998664886515354,0.0651289009497965
23.5,0.998998664886515,0.0488466757123474
24.5,0.999332443257677,0.0407055630936228
25.5,0.999666221628838,0.0352781546811398
26.5,0.999666221628838,0.0257801899592944
27.5,0.999799732977303,0.0203527815468114
28.5,0.999933244325768,0.0162822252374491
30,1,0.0135685210312076
31.5,1,0.00814111261872456
32.5,1,0.0067842605156038
34.5,1,0.00542740841248304
36.5,1,0.00407055630936228
37.5,1,0.00271370420624152
39,1,0.00135685210312076
Inf,1,0
