"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"F2",0.188091028156308,0.000596693463157755,0.0392037835540911,0.120489259611908,0.158506257780334,0.185848864393754,0.214443746047839,0.270337690367308,4316.71528684862,1.00014551598881
"F3",0.549860619799665,0.000462199409274299,0.0273158701473927,0.508603544623028,0.529118070709288,0.546169174061349,0.566449780551046,0.612408492683661,3492.78060583797,0.999972622927938
"F4",1.63558019884163,0.000701509030803226,0.0446146005425536,1.55068858537155,1.60493805617551,1.63385544857609,1.66478176116818,1.72565310508142,4044.71089875582,1.00026880017346
"F5",3.41466201613568,0.00149393700136159,0.0910243105791172,3.24196820518119,3.35158620130578,3.41338273262539,3.47539684532606,3.59756649668808,3712.36123265675,1.00048052469734
"F6",5.13827213897752,0.00145235642467113,0.0758039491568652,5.02274379072473,5.08078480064045,5.12779734630942,5.18427148743079,5.31217576193183,2724.18904962811,1.00022895377502
"Q1",2.30546226656828,0.00116050469245484,0.0691483158799123,2.16384277079084,2.25911372132542,2.30710667191579,2.35449956356788,2.4320921771835,3550.33564554498,0.999870796055697
"Q2",4.11133270313583,0.0018360353883281,0.0997196008679577,3.90958875538156,4.04618011353859,4.11178709656788,4.18003908033787,4.30009568474795,2949.84344619023,1.00048411077462
"Q3",5.54019339248686,0.00265059823262616,0.168451584477053,5.21711745743509,5.42461306948678,5.53713979852646,5.65305512323842,5.87639706270275,4038.89341672614,1.00066546159076
"Q4",7.06680093236504,0.00332434212495139,0.209060771142116,6.6771521978178,6.91998296671175,7.05903296654283,7.21001964726895,7.49165925837218,3954.88327574385,1.00001649530742
"Q5",9.73310272642797,0.00266283601628702,0.146092942063998,9.53288346351565,9.62213160689521,9.70531599416087,9.8143049323003,10.079074695502,3010.02169258419,1.00066715651704
"Q6",11.0762383541495,0.00712679100178415,0.526116867908684,10.0837272048608,10.7136717065861,11.0628093482739,11.4319055007387,12.129994869007,5449.74781610737,1.00053884743512
"Q7",16.3692073903072,0.00726593692851667,0.463625718950625,15.6499156744341,16.0176039293993,16.3069209548152,16.6645668359117,17.3930468067424,4071.47518564902,0.999992828994906
"V1",0.105561457731398,0.000418732686035024,0.026548047398085,0.0541185293942675,0.0876640048753474,0.105526894327297,0.123467404596102,0.157192017967082,4019.67964552512,1.00016388272913
"V2",0.270388848961717,0.000505807546811394,0.0318605441439997,0.216487536082383,0.246773746829247,0.267407419031803,0.29112518404585,0.339583380568018,3967.67204778543,1.00033034386025
"V3",0.567216339646216,0.00059148067928924,0.0361356825890799,0.511766885354206,0.540033537327943,0.562430671695194,0.589244919102622,0.649578886410628,3732.42766366353,1.00002975094639
"V4",1.23382594848566,0.00111243548234253,0.0707435560781071,1.09809299076236,1.18582400050202,1.23274865915869,1.2803733394288,1.37651894279608,4044.12069223439,1.00010581651602
"binge",5.37414091876636,0.00263674628755939,0.165603363461987,5.11317752448497,5.25061491104741,5.35622603973811,5.47544284979432,5.75036476603511,3944.58773474437,1.00062613957172
"sigma",9.14548178605454,0.000862297469577984,0.0650138961560616,9.01731664200169,9.10180336807442,9.14478345084426,9.18853852658714,9.27749046833113,5684.57712565292,1.00063779815274
