"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"F2",0.31550626306999,0.0122887245976392,0.046396883586082,0.191363980797596,0.286852933445756,0.317759199771472,0.35063662247208,0.392369335140418,14.2548942034207,1.25804674930654
"F3",0.713136575786087,0.0213210267773139,0.0425162326035533,0.615889993977579,0.684978512636592,0.710222687489206,0.747204061666415,0.787995930968231,3.97642977952083,1.51437114533889
"F4",1.96186064225118,0.0461206271994659,0.0619581318474669,1.86584607654532,1.91344346570958,1.94803069829343,2.01383686280321,2.08320034372844,1.80470499200166,2.6979673106859
"F5",3.69876253191214,0.0264092223727076,0.0602307046989509,3.5723080625941,3.66005494753799,3.700603962429,3.74213723611599,3.80439685800757,5.20145280081805,1.28767361960384
"F6",5.89851864702043,0.0985701136175741,0.132934262934291,5.67950092952583,5.79655762234501,5.87792668632566,6.0098397309824,6.15844031477577,1.81879331614584,2.6728207785291
"Q1",2.25513195059324,0.0222921586716619,0.0623894900540323,2.13205041147234,2.21165568164926,2.25335833472997,2.29552235447068,2.37796870266497,7.83282855034067,1.27628012743003
"Q2",3.94163587628827,0.054583578096376,0.0935943976838156,3.75870868041877,3.87680023136234,3.94510523863711,3.99645165684527,4.1349301794797,2.94019208921067,1.64328045876093
"Q3",5.79227019525181,0.39397148984705,0.485425990257709,5.29326246433905,5.42665295843985,5.51896362466666,6.45639406777382,6.4982629285928,1.51815621171587,10.1199416744945
"Q4",8.67546269622614,0.179177728878541,0.246826010642337,8.17346102692329,8.49350512507087,8.72258595215524,8.86437144463538,9.05370221220893,1.89763985435744,2.36546788185726
"Q5",11.0220637571077,0.23083430713213,0.312072149624346,10.3419597385105,10.787073126567,11.1300997576365,11.2312903083884,11.4652102639034,1.82771852922522,2.51186305895534
"Q6",11.5614514246407,0.00382386082234084,0.0607848741690692,11.5013197533724,11.5186271165009,11.5428506280874,11.5838265087125,11.7159540419055,252.689322141836,1.02557077298998
"Q7",18.19117968435,0.300955240181475,0.445541563812511,17.3386782016006,17.8424281877549,18.2608199184618,18.5369889368707,18.9660288462366,2.1916572200932,2.01686008877655
"V1",0.0534470984059642,0.00623352248368341,0.0204336155577755,0.00748237143940779,0.0394971819799941,0.0582542935313869,0.0684788554791336,0.0856203883081071,10.7454195227827,1.23054591377907
"V2",0.248747049576971,0.010301973109825,0.0356787849431756,0.166881206696031,0.231709929714389,0.252659409789849,0.271143812279109,0.315254950956371,11.9944209854027,1.47164807773025
"V3",0.621713711116793,0.0175374336556777,0.0420125027214096,0.529614293895523,0.592139502032809,0.626084433978198,0.649736494158829,0.699694685312096,5.73885200274649,1.41267673305083
"V4",1.20068784163152,0.00665530822867321,0.0381160581402652,1.12739342431438,1.1757730576275,1.19803317966193,1.22232701562895,1.28332357345238,32.8004357845461,1.14117189907213
"sigma",10.9621121826239,0.012570166107797,0.0503195465392884,10.8639283129697,10.9268613746923,10.9625436351929,10.9985398182788,11.0624235350484,16.0247552126591,1.15239204628002
