"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"F2",0.333919068654218,0.00086316235539086,0.0395635217942462,0.259385873616579,0.307045063448048,0.332857129962266,0.359118700876814,0.415509052766683,2100.89769643823,1.00215531286012
"F3",0.768573207211362,0.000990571037704615,0.0358292879956945,0.700892019721467,0.744091141912759,0.767357043732926,0.792274819201856,0.841187581105849,1308.29325966791,1.00450423584416
"F4",2.08918959850592,0.0227813081553949,0.0599795398025353,1.96782516824662,2.04709955901151,2.09162463337243,2.13211944560244,2.19946413641155,6.93184656699792,1.14731587561245
"F5",3.96553135735004,0.130946707876852,0.184192333732047,3.59778221811092,3.81645042100178,4.00704901145296,4.10864679419276,4.24282614630669,1.97858144639502,1.94883660545845
"F6",6.32867104900081,0.121809524176166,0.206076305474355,5.90449224348457,6.18844769794204,6.34818888950534,6.48332820491734,6.67402555110648,2.86215814208686,1.43127769589752
"Q1",2.0703243477703,0.0458282589946276,0.086580476912414,1.91708651773502,2.00730449838596,2.06490856598108,2.12614502775094,2.25740686167393,3.56921927627129,1.30348015850347
"Q2",3.63401968379368,0.0794658481436152,0.13933833723532,3.39996859429565,3.52974705466703,3.62046365534724,3.72889279469892,3.92597679066729,3.07454038022177,1.37777004448816
"Q3",5.47651098500489,0.633742538324121,0.786997279881639,4.69352561267014,4.88010198940176,5.02687062273341,6.45064039813081,6.82311075477218,1.54212914340276,5.69144978946568
"Q4",8.1201458644659,0.121239477660831,0.253162942468612,7.69014878369624,7.93387326378107,8.09389982637646,8.2893357185755,8.66093707698121,4.36025768576169,1.23820435225508
"Q5",10.3107513883508,0.136966320719067,0.304716148532166,9.7962098778708,10.0835962886876,10.2843234117892,10.5118886068848,10.9666258087896,4.94952316961712,1.20823163168194
"Q6",10.017171840585,0.1452500266683,0.30945454182118,9.58804583627686,9.77778865614698,9.95866802213691,10.2002829546635,10.7473326363037,4.53901147534893,1.22255706795908
"Q7",17.0558025886386,0.308592928154676,0.559086730342212,16.1292388153022,16.6524785416835,16.9920772653388,17.4125664223457,18.2602422770076,3.28236165487007,1.34402105860686
"V1",0.061484497604934,0.00307383670583742,0.0184422379868684,0.0230135764822704,0.0486436326247367,0.0631137596731137,0.0753586494171371,0.0928150772251069,35.9969462337459,1.04470416271892
"V2",0.261285774096999,0.0126833989345525,0.0369455162328837,0.191358392556701,0.235162259891319,0.2609926563683,0.285622836401521,0.337440623286757,8.48500637981335,1.11287298206314
"V3",0.673787359304247,0.00274478342260624,0.0578052693077521,0.580883499344428,0.634562868122985,0.665261477110618,0.703226159457519,0.80851460277112,443.525601476468,1.01179785925133
"V4",1.27073502794639,0.0365001729864497,0.0621596208497228,1.14044873891274,1.22792457394409,1.27543649582319,1.3163740086883,1.3772917294555,2.90019278696085,1.40184307924849
"binge",5.56995746418939,0.122356560986275,0.252518780406832,5.18893829123216,5.38427445985201,5.53071057361225,5.71465289989016,6.16534747702755,4.25924715815357,1.22987920780882
"sigma",10.9528932660203,0.00949682750191938,0.0537970768519086,10.8497417927644,10.9168021799678,10.9527444679421,10.9883388204959,11.0600974728763,32.0893010139744,1.03897464077527
