"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"F2",0.22607953693775,0.0383984902227569,0.0403227954862568,0.169446107415727,0.183165019636626,0.229968040659086,0.264156677372714,0.284310918803427,1.10273959483021,4.9333044391097
"F3",0.672267627989906,0.0262846853005612,0.0278206834926585,0.62122006442636,0.647709422886379,0.67766117598345,0.69786282651223,0.706625421286536,1.12028888596402,4.09758563990701
"F4",2.00380784555474,0.00083917807138591,0.00320217938476762,2.00005410578312,2.0012715634739,2.00284245367547,2.00559433110313,2.01068738111079,14.5607270562374,1.34135106451901
"F5",3.52706863253653,0.0217166025132575,0.0255383570390439,3.50039806294221,3.50455943315483,3.52030343780935,3.54338137466805,3.58545827908147,1.3829361966883,3.65998701619687
"F6",5.75021978275826,0.0879377472692791,0.0890439272086783,5.63962602022294,5.65551280896905,5.76024265168432,5.82991939741714,5.86401828498737,1.02531648494493,8.71146350636283
"Q1",2.02233079954716,0.166158934029167,0.168343598402167,1.82762624521183,1.85403384786682,1.99711815913841,2.19302791233346,2.24146739044465,1.02646895171225,8.57943166885138
"Q2",3.65824706573079,0.16553326814653,0.166966723938028,3.44590341103611,3.50450161037075,3.66694809008141,3.82067364300032,3.84548936116157,1.01739423623301,14.8218859500125
"Q3",5.16202539931083,0.0232374059689531,0.0274599049790292,5.11689100513488,5.14247398295334,5.16890926926982,5.17815178695373,5.20974186697177,1.39644157242567,3.26931332771742
"Q4",8.41798713819017,0.0729921525526136,0.0751283143087511,8.33273047751868,8.34417337791406,8.41261643351094,8.48398928152452,8.55535539725724,1.05938774913113,4.75773052358014
"Q5",11.1520527570871,0.0821199943788877,0.0835649673544711,11.0571490410464,11.0678832294311,11.1515587927542,11.2257811756683,11.2844710590141,1.03550136034345,7.57882679292138
"Q6",14.009188952338,0.140163542705887,0.141307422962941,13.8615317451332,13.8703136185557,13.9948665111595,14.1441622142749,14.1869757563226,1.01638868226445,22.9952825730151
"Q7",19.9572177230471,0.842255004497872,0.843915298946774,18.9938366319333,19.1218199826686,20.0164744499285,20.7970909426438,20.8388952317294,1.00394638409276,21.1564355327573
"V1",0.165426867108262,0.0338107623743086,0.035756984499549,0.111967289217353,0.135963230006175,0.157643919477658,0.193489211772626,0.223883751855522,1.11843782308993,4.60734878201041
"V2",0.292974753225331,0.0290261877845949,0.0303190818676554,0.246932068355256,0.266854747740689,0.290607669510163,0.319798707535741,0.334540206902629,1.09106868262494,4.90267347371677
"V3",0.691268311902605,0.0265219460786068,0.0291769861969307,0.642102879292867,0.668767499763202,0.694257597573339,0.716115982902099,0.736114667047807,1.21023604709444,2.98014196692109
"V4",1.22010086323066,0.0425454409675822,0.043097826088651,1.16664417838181,1.17753163130135,1.21540438724874,1.26250371553891,1.27672283394879,1.02613539928548,8.05083459421066
